protein_id	fasta_headers	gene_symbols_or_id	OE01923_Astroc_DIA_AA13_dil1n2_250ng	OE01925_Astroc_DIA_AA16_dil1n2_250ng	OE01919_Astroc_DIA_AA19_dil1n2_250ng	OE01881_Astroc_DIA_AA14_dil1n2_250ng	OE01908_Astroc_DIA_AA17_dil1n2_250ng	OE01888_Astroc_DIA_AA20_dil1n2_250ng
Q9NP80	>sp|Q9NP80|PLPL8_HUMAN Calcium-independent phospholipase A2-gamma OS=Homo sapiens OX=9606 GN=PNPLA8 PE=1 SV=1	PNPLA8	19.8766320896829	19.625444661183	19.9424884533988	18.7879132938621	19.4049199085442	19.5421486167771
Q8TCS8	>sp|Q8TCS8|PNPT1_HUMAN Polyribonucleotide nucleotidyltransferase 1, mitochondrial OS=Homo sapiens OX=9606 GN=PNPT1 PE=1 SV=2	PNPT1	20.9492758098841	21.05391933636	20.8495556991642	20.665110584028	21.1795912674374	20.8035002889568
O00592	>sp|O00592|PODXL_HUMAN Podocalyxin OS=Homo sapiens OX=9606 GN=PODXL PE=1 SV=2	PODXL	21.9352504612278	24.0001954486635	24.8495316203945	21.3389448165011	24.1443119715028	22.8465219586769
Q9H488	>sp|Q9H488|OFUT1_HUMAN GDP-fucose protein O-fucosyltransferase 1 OS=Homo sapiens OX=9606 GN=POFUT1 PE=1 SV=1	POFUT1	22.4662342329271	22.3276990761498	22.8024927583662	22.3693628985923	22.6687204219479	22.7284877030886
Q9Y2G5	>sp|Q9Y2G5|OFUT2_HUMAN GDP-fucose protein O-fucosyltransferase 2 OS=Homo sapiens OX=9606 GN=POFUT2 PE=1 SV=3	POFUT2	22.7461765976158	22.4803459474462	22.7287170752175	22.6336467738429	22.6929655294066	23.1718598988069
Q8NBL1	>sp|Q8NBL1|PGLT1_HUMAN Protein O-glucosyltransferase 1 OS=Homo sapiens OX=9606 GN=POGLUT1 PE=1 SV=1	POGLUT1	21.7928008362703	21.6267434100988	21.92870476656	21.6922764527784	21.7013198842895	22.2752344587988
Q6UW63	>sp|Q6UW63|PLGT2_HUMAN Protein O-glucosyltransferase 2 OS=Homo sapiens OX=9606 GN=POGLUT2 PE=1 SV=1	POGLUT2	20.7169040216185	20.4647869568653	20.0308329223271	20.5980921146597	20.8328834989912	20.5224745138403
Q7Z4H8	>sp|Q7Z4H8|PLGT3_HUMAN Protein O-glucosyltransferase 3 OS=Homo sapiens OX=9606 GN=POGLUT3 PE=1 SV=2	POGLUT3	22.4708505880171	21.7845520154133	21.6401738614298	22.3477345876387	22.3133880578287	22.5859636590316
Q7Z3K3	>sp|Q7Z3K3|POGZ_HUMAN Pogo transposable element with ZNF domain OS=Homo sapiens OX=9606 GN=POGZ PE=1 SV=2	POGZ	19.7245487388271	19.9984180976218	19.9764693368358	19.3690420246203	20.1726017635253	19.2533325755922
P06746	>sp|P06746|DPOLB_HUMAN DNA polymerase beta OS=Homo sapiens OX=9606 GN=POLB PE=1 SV=3	POLB	18.141304688928	17.9684178350931	17.4153669085577	18.386256263141	17.299612194289	18.7667256119378
