protein_id	fasta_headers	gene_symbols_or_id	OE01912_Astroc_DIA_AA01_dil1n2_250ng	OE01927_Astroc_DIA_AA04_dil1n2_250ng	OE01886_Astroc_DIA_AA07_dil1n2_250ng	OE01914_Astroc_DIA_AA10_dil1n2_250ng	OE01892_Astroc_DIA_AA02_dil1n2_250ng	OE01921_Astroc_DIA_AA05_dil1n2_250ng	OE01877_Astroc_DIA_AA08_dil1n2_250ng	OE01875_Astroc_DIA_AA11_dil1n2_250ng
P60059	>sp|P60059|SC61G_HUMAN Protein transport protein Sec61 subunit gamma OS=Homo sapiens OX=9606 GN=SEC61G PE=1 SV=1	SEC61G	25.6694536211909	25.4236289069016	25.1409776926277	25.2413647949647	25.1367186948659	25.3553360747583	24.7175290228307	25.0975705899782
Q99442	>sp|Q99442|SEC62_HUMAN Translocation protein SEC62 OS=Homo sapiens OX=9606 GN=SEC62 PE=1 SV=1	SEC62	24.0667086033722	23.7364596455891	23.5745245035702	23.2414492019691	24.0156812695738	23.0984402574588	23.5083516648724	23.8128460488572
Q9UGP8	>sp|Q9UGP8|SEC63_HUMAN Translocation protein SEC63 homolog OS=Homo sapiens OX=9606 GN=SEC63 PE=1 SV=2	SEC63	21.6898141890227	21.7128274479292	22.310742875126	21.9693009066029	21.9246578874924	21.5421549724124	22.0789394365975	22.0480942798683
Q96EE3	>sp|Q96EE3|SEH1_HUMAN Nucleoporin SEH1 OS=Homo sapiens OX=9606 GN=SEH1L PE=1 SV=3	SEH1L	20.7750742058064	20.8574047056624	20.9539590017187	20.5669838262686	20.8867179089295	20.7613212929625	20.758256579032	20.4170237747068
Q9UBV2	>sp|Q9UBV2|SE1L1_HUMAN Protein sel-1 homolog 1 OS=Homo sapiens OX=9606 GN=SEL1L PE=1 SV=3	SEL1L	22.6802477062261	21.7250704350384	22.0999230326311	21.5871752370261	22.7311274333856	21.9494509896188	21.6793144771858	22.309314165703
Q13228	>sp|Q13228|SBP1_HUMAN Methanethiol oxidase OS=Homo sapiens OX=9606 GN=SELENBP1 PE=1 SV=2	SELENBP1	19.6486154675559	19.7734259451837	19.8756926861626	19.7895639026404	19.9351039261235	20.2406815246334	19.4497879883549	19.3403548191176
O60613	>sp|O60613|SEP15_HUMAN Selenoprotein F OS=Homo sapiens OX=9606 GN=SELENOF PE=1 SV=4	SELENOF	23.2618971143506	22.7468740530048	23.3950176522147	22.7885517256704	23.0250285127408	22.6898726967759	22.9338112828884	22.8584674400274
Q8IZQ5	>sp|Q8IZQ5|SELH_HUMAN Selenoprotein H OS=Homo sapiens OX=9606 GN=SELENOH PE=1 SV=2	SELENOH	22.4286805608671	22.5390488186807	22.4727713242197	22.3998538399407	22.8916242726672	22.6136337821335	22.6236341075764	22.2377796508814
Q9C0D9	>sp|Q9C0D9|EPT1_HUMAN Ethanolaminephosphotransferase 1 OS=Homo sapiens OX=9606 GN=SELENOI PE=1 SV=3	SELENOI	23.5028579087375	23.8158430071584	22.9750478398234	23.3825042335381	22.9815062872561	23.2981448312567	22.9157911914049	23.1026318753092
Q8WWX9	>sp|Q8WWX9|SELM_HUMAN Selenoprotein M OS=Homo sapiens OX=9606 GN=SELENOM PE=1 SV=3	SELENOM	22.1778746100356	22.7309922734432	24.4440862541579	23.0943585480232	22.9134768346154	19.208428835404	24.1221580899984	23.7318959077155
Q9NZV5	>sp|Q9NZV5|SELN_HUMAN Selenoprotein N OS=Homo sapiens OX=9606 GN=SELENON PE=1 SV=5	SELENON	21.3198560928356	20.5223524973288	20.6520513996645	20.5662333174936	21.1140224127558	21.4218763595344	20.8153134367428	20.4893090210581
Q9BQE4	>sp|Q9BQE4|SELS_HUMAN Selenoprotein S OS=Homo sapiens OX=9606 GN=SELENOS PE=1 SV=3	SELENOS	21.4033733048255	21.1788040798711	20.7713840852364	20.3228173983322	21.0806755631868	20.927288254569	20.5181926451089	21.6788612311677
P62341	>sp|P62341|SELT_HUMAN Thioredoxin reductase-like selenoprotein T OS=Homo sapiens OX=9606 GN=SELENOT PE=1 SV=2	SELENOT	21.2860729266538	20.875830035123	21.137818118599	20.1650998325762	21.9192540662832	21.593748001937	21.3450721256038	21.8713469961143
P16109	>sp|P16109|LYAM3_HUMAN P-selectin OS=Homo sapiens OX=9606 GN=SELP PE=1 SV=4	SELP	21.6121575739794	20.432585344626		20.2474835779311	21.4343837420669	20.9572008593607	20.7862820051341	20.3780369775112
Q13214	>sp|Q13214|SEM3B_HUMAN Semaphorin-3B OS=Homo sapiens OX=9606 GN=SEMA3B PE=1 SV=1	SEMA3B	23.5570797241323	22.455764950389	22.4459705689287	21.7762691616645	22.3289397458374	20.7967743296682	21.3139680856362	20.6118895895846
Q99985	>sp|Q99985|SEM3C_HUMAN Semaphorin-3C OS=Homo sapiens OX=9606 GN=SEMA3C PE=2 SV=2	SEMA3C	22.1151608460579	21.6956464630776	21.079260745322	19.5554350597358	22.1194651162879	21.8052017907744	21.4521625235292	21.6904452848832
