protein_id	fasta_headers	gene_symbols_or_id	OE01881_Astroc_DIA_AA14_dil1n2_250ng	OE01908_Astroc_DIA_AA17_dil1n2_250ng	OE01888_Astroc_DIA_AA20_dil1n2_250ng	OE01892_Astroc_DIA_AA02_dil1n2_250ng	OE01921_Astroc_DIA_AA05_dil1n2_250ng	OE01877_Astroc_DIA_AA08_dil1n2_250ng	OE01875_Astroc_DIA_AA11_dil1n2_250ng
Q9UKM7	>sp|Q9UKM7|MA1B1_HUMAN Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase OS=Homo sapiens OX=9606 GN=MAN1B1 PE=1 SV=2	MAN1B1	22.3994675653482	22.3764698230956	22.3018777264744	22.2291958499884	22.1248012110779	21.6441882132962	22.1673683421008
Q16706	>sp|Q16706|MA2A1_HUMAN Alpha-mannosidase 2 OS=Homo sapiens OX=9606 GN=MAN2A1 PE=1 SV=2	MAN2A1	21.3131550791583	21.1683918166223	21.6702822339155	21.3062194899041	20.7967217189226	20.3883468175394	21.1999831926252
P49641	>sp|P49641|MA2A2_HUMAN Alpha-mannosidase 2x OS=Homo sapiens OX=9606 GN=MAN2A2 PE=2 SV=3	MAN2A2	19.1479407130341	18.978698787146	19.1253080484677	21.3819215130095	18.9701715995714	18.437118821092	18.6841410401297
O00754	>sp|O00754|MA2B1_HUMAN Lysosomal alpha-mannosidase OS=Homo sapiens OX=9606 GN=MAN2B1 PE=1 SV=3	MAN2B1	20.8217221632623	21.8989227839665	21.764343274969	21.21820124142	21.2080988063811	20.8146854873762	20.8080079565159
Q9Y2E5	>sp|Q9Y2E5|MA2B2_HUMAN Epididymis-specific alpha-mannosidase OS=Homo sapiens OX=9606 GN=MAN2B2 PE=1 SV=4	MAN2B2	20.4603557529095	20.2853708503403	21.2250794222952	21.0983041006337	21.0076585795883	19.6191978048435	20.5890400843322
Q9NTJ4	>sp|Q9NTJ4|MA2C1_HUMAN Alpha-mannosidase 2C1 OS=Homo sapiens OX=9606 GN=MAN2C1 PE=1 SV=1	MAN2C1	19.8575345637401	20.2022347856948	20.25453852327	20.0295635380572		20.0908391983898	19.8734940745891
O00462	>sp|O00462|MANBA_HUMAN Beta-mannosidase OS=Homo sapiens OX=9606 GN=MANBA PE=1 SV=3	MANBA	21.1874190594942	21.0685398035106	22.3585836619729	21.7116614769827	21.0404351505056	20.9020174671593	21.1648010041366
Q9NQG1	>sp|Q9NQG1|MANBL_HUMAN Protein MANBAL OS=Homo sapiens OX=9606 GN=MANBAL PE=1 SV=1	MANBAL	18.4862199476751	19.2012269308181	17.679102427281	17.3060799616429		17.4236311039341	17.9732615360639
Q5SRI9	>sp|Q5SRI9|MANEA_HUMAN Glycoprotein endo-alpha-1,2-mannosidase OS=Homo sapiens OX=9606 GN=MANEA PE=1 SV=1	MANEA	21.4925228631423	21.4225751797928	22.0903718645523	21.9046670551721	22.3875190279138	21.4955377937929	21.8352547845698
P55145	>sp|P55145|MANF_HUMAN Mesencephalic astrocyte-derived neurotrophic factor OS=Homo sapiens OX=9606 GN=MANF PE=1 SV=3	MANF	24.4838372728598	24.5921813447297	24.7357955517308	24.9275545196144	24.3225683704531	24.2674369259779	24.6096591235585
